Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Leniye İzmaylova - Qınalı da parmaqlarıñ,tTFU7hP5yKzWDj5yAuqh0F,Leniye İzmaylova-Qınalı parmaqlarıñ,Leniye İzmaylova,Leniye İzmaylova,1.02,HIGH,NO,,scripts/lyrics_crh_lt/Leniye İzmaylova - Qınalı da parmaqlarıñ.txt
crh_lt,Zore Kadıyeva - Diñle meni,2RGfKTetf74yFnj8F26f5l,Zore Kadıyeva-Diñle meni,Zore Kadıyeva,Zore Kadıyeva,1.04,HIGH,NO,,scripts/lyrics_crh_lt/Zore Kadıyeva - Diñle meni.txt
crh_lt,"Asiye Saale - Gidene baq, gidene",mhc4Tx0hFaTJn0aCod0uEc,"Asiye Saale - Gidene baq, gidene",Asiye Saale,Asiye Saale,1.10,HIGH,NO,,"scripts/lyrics_crh_lt/Asiye Saale - Gidene baq, gidene.txt"
crh_lt,Reana Tarkova - Qızçıgım,aFxyNqevtc6ZJeklQlvCbu,Reana Tarkova-Qızçığım,Reana Tarkova,Reana Tarkova,1.03,HIGH,NO,,scripts/lyrics_crh_lt/Reana Tarkova - Qızçıgım.txt
crh_lt,Unknown - Men anamnıñ bir qızı edim,lpG3neijGiUsGlWeJXkqbO,Anara-Men anamnıñ bir qızı edim,Anara,Anara,0.79,MEDIUM,NO,,scripts/lyrics_crh_lt/Unknown - Men anamnıñ bir qızı edim.txt
crh_lt,Susanna Memetova - Suv aqar tınıq-tınıq,svDX6Ff4LtWZ5RKixZvIdm,Susanna Memetova-Suv aqar tınıq-tınıq,Susanna Memetova,Susanna Memetova,1.09,HIGH,NO,,scripts/lyrics_crh_lt/Susanna Memetova - Suv aqar tınıq-tınıq.txt
crh_lt,Aliye Civan - Alime (Sıra-sıra Cezveler),P6Ywuaz4qq53AcvnsBwbOz,Aliye Civan-Alime (Sıra-sıra cezveler),Aliye Civan,Aliye Civan,1.09,HIGH,NO,,scripts/lyrics_crh_lt/Aliye Civan - Alime (Sıra-sıra Cezveler).txt
crh_lt,Afize Kassara - Pencereden quş uçtı,bgysV7QLqp5dmCbMuziABh,Afize Kassara-Pencereden quş uçtı,Afize Kassara,Afize Kassara,1.02,HIGH,NO,,scripts/lyrics_crh_lt/Afize Kassara - Pencereden quş uçtı.txt
crh_lt,Edvin Eddy - Yarem sensiñ,YCshUPFtK4THK4COkYwN65,Marlen Settarov-Körem seni,Marlen Settarov,Marlen Settarov,0.54,LOW,NO,,scripts/lyrics_crh_lt/Edvin Eddy - Yarem sensiñ.txt
crh_lt,Crimean Tatar Folk - Шу Ялтадан,Wbrz1sFnlQxjWWYqjdiWLx,Nuran Taş-Şu Yaltadan,Diger,Diger,0.64,MEDIUM,YES,1/2,scripts/lyrics_crh_lt/Crimean Tatar Folk - Шу Ялтадан.txt
crh_lt,Unknown - Şu Yalta'dan Taş Yükledim,Wbrz1sFnlQxjWWYqjdiWLx,Nuran Taş-Şu Yaltadan,Diger,Diger,0.50,LOW,YES,2/2,scripts/lyrics_crh_lt/Unknown - Şu Yalta'dan Taş Yükledim.txt
crh_lt,Rustem Memetov - Üskütniñ Dağları(Уськютнинъ дагълары),glDFD5HW7Q9sc1I3Vk2Rb4,Rustem Memetov-Üskütniñ dağları,Rustem Memetov,Rustem Memetov,0.77,MEDIUM,NO,,scripts/lyrics_crh_lt/Rustem Memetov - Üskütniñ Dağları(Уськютнинъ дагълары).txt
